"","Sample_ID"
"1","e02464-A"
"2","e02466-A"
"3","e02468-A"
"4","e02470-A"
"5","e02473-A"
"6","e02476-A"
"7","e02455-B"
"8","e02464-B"
"9","e02466-B"
"10","e02468-B"
"11","e02470-B"
"12","e02476-B"
"13","e02464-C"
"14","e02466-C"
"15","e02468-C"
"16","e02470-C"
"17","e02476-C"
"18","e02502-A"
"19","e02503-A"
"20","e02504-A"
"21","e02507-A"
"22","e02511-A"
"23","e02512-A"
"24","e02513-A"
"25","e02514-A"
"26","e02515-A"
"27","e02516-A"
"28","e02517-A"
"29","e02518-A"
"30","e02519-A"
"31","e02520-A"
"32","e02521-A"
"33","e02522-A"
"34","e02523-A"
"35","e02524-A"
"36","e02529-A"
"37","e02530-A"
"38","e02531-A"
"39","e02533-A"
"40","e02534-A"
"41","e02535-A"
"42","e02536-A"
"43","e02537-A"
"44","e02540-A"
"45","e02543-A"
"46","e02544-A"
"47","e02545-A"
"48","e02546-A"
"49","e02547-A"
"50","e02548-A"
"51","e02551-A"
"52","e02552-A"
"53","e02553-A"
"54","e02554-A"
"55","e02556-A"
"56","e02558-A"
"57","e02559-A"
"58","e02560-A"
"59","e02563-A"
"60","e02565-A"
"61","e02566-A"
"62","e02570-A"
"63","e02571-A"
"64","e02572-A"
"65","e02574-A"
"66","e02575-A"
"67","e02576-A"
"68","e02578-A"
"69","e02581-A"
"70","e02585-A"
"71","e02586-A"
"72","e02587-A"
"73","e02502-B"
"74","e02503-B"
"75","e02504-B"
"76","e02508-B"
"77","e02510-B"
"78","e02511-B"
"79","e02512-B"
"80","e02513-B"
"81","e02514-B"
"82","e02515-B"
"83","e02516-B"
"84","e02517-B"
"85","e02518-B"
"86","e02519-B"
"87","e02520-B"
"88","e02521-B"
"89","e02522-B"
"90","e02523-B"
"91","e02525-B"
"92","e02527-B"
"93","e02528-B"
"94","e02531-B"
"95","e02533-B"
"96","e02534-B"
"97","e02536-B"
"98","e02539-B"
"99","e02540-B"
"100","e02541-B"
"101","e02542-B"
"102","e02543-B"
"103","e02544-B"
"104","e02545-B"
"105","e02546-B"
"106","e02547-B"
"107","e02548-B"
"108","e02550-B"
"109","e02553-B"
"110","e02556-B"
"111","e02561-B"
"112","e02566-B"
"113","e02571-B"
"114","e02572-B"
"115","e02574-B"
"116","e02575-B"
"117","e02576-B"
"118","e02580-B"
"119","e02586-B"
"120","e02587-B"
"121","e02594-B"
"122","e02502-C"
"123","e02503-C"
"124","e02504-C"
"125","e02509-C"
"126","e02511-C"
"127","e02513-C"
"128","e02514-C"
"129","e02515-C"
"130","e02516-C"
"131","e02518-C"
"132","e02519-C"
"133","e02520-C"
"134","e02521-C"
"135","e02522-C"
"136","e02523-C"
"137","e02525-C"
"138","e02528-C"
"139","e02530-C"
"140","e02531-C"
"141","e02532-C"
"142","e02533-C"
"143","e02535-C"
"144","e02536-C"
"145","e02537-C"
"146","e02539-C"
"147","e02540-C"
"148","e02542-C"
"149","e02543-C"
"150","e02544-C"
"151","e02545-C"
"152","e02546-C"
"153","e02547-C"
"154","e02548-C"
"155","e02550-C"
"156","e02553-C"
"157","e02554-C"
"158","e02555-C"
"159","e02562-C"
"160","e02563-C"
"161","e02566-C"
"162","e02568-C"
"163","e02569-C"
"164","e02571-C"
"165","e02573-C"
"166","e02574-C"
"167","e02575-C"
"168","e02576-C"
"169","e02581-C"
"170","e02587-C"
"171","e02590-C"
"172","e02594-C"
